Profil plat :

Chaque échantillon compte pour 0.01 seconds.
  %    cumulatif   auto              auto     total           
temps   seconds   seconds   appels  s/appel  s/appel  nom     
  1.62     38.85     0.70 34694730     0.00     0.00  dipole_dot_Electric_Ffield(Vecteur3D const&, Vecteur3D const&, Vecteur3D const&, std::complex<double>&)
  1.53     39.51     0.66                             sin
  1.30     40.07     0.56   986580     0.00     0.00  Eigen::internal::general_matrix_vector_product<long long, std::complex<double>, Eigen::internal::const_blas_data_mapper<std::complex<double>, long long, 1>, 1, false, std::complex<double>, Eigen::internal::const_blas_data_mapper<std::complex<double>, long long, 0>, true, 0>::run(long long, long long, Eigen::internal::const_blas_data_mapper<std::complex<double>, long long, 1> const&, Eigen::internal::const_blas_data_mapper<std::complex<double>, long long, 0> const&, std::complex<double>*, long long, std::complex<double>)
  1.27     40.62     0.55                             cos
  1.02     41.06     0.44  1019466     0.00     0.00  Eigen::internal::selfadjoint_matrix_vector_product<std::complex<double>, long long, 0, 1, false, false, 0>::run(long long, std::complex<double> const*, long long, std::complex<double> const*, std::complex<double>*, std::complex<double>)
  0.99     41.49     0.43                             csqrt
  0.97     41.91     0.42 68369995     0.00     0.00  atan2_approximation(float, float)
  0.69     42.21     0.30    32886     0.00     0.00  void Eigen::internal::tridiagonalization_inplace<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >(Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>&, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>&)
  0.49     42.42     0.21   712253     0.00     0.00  FitParams::LocateParam(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.42     42.60     0.18 102792748     0.00     0.00  operator/(Vecteur3D const&, double)
  0.16     42.67     0.07 33675264     0.00     0.00  operator*(Vecteur3D const&, double)
  0.16     42.74     0.07   345303     0.00     0.00  Gamma_Level_from_diagonalized_dipole(std::vector<Internal_state, std::allocator<Internal_state> >&, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>*, int)
  0.14     42.80     0.06   339822     0.00     0.00  rates_single_molecule_laser_level(int, double, double&, double&, double&, double*, std::vector<Internal_state, std::allocator<Internal_state> >&, Internal_state&, Internal_state&, std::vector<type_codage_react, std::allocator<type_codage_react> >&, std::vector<double, std::allocator<double> >&, std::vector<Molecule, std::allocator<Molecule> > const&, int, Field const&, Field const&, Laser const&, double, double&, FitParams&, bool, int, int, int, double, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>*)
  0.14     42.86     0.06                             sincos
  0.12     42.91     0.05  1019466     0.00     0.00  void Eigen::MatrixBase<Eigen::Block<Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, 1, true>, -1, 1, false> >::makeHouseholder<Eigen::VectorBlock<Eigen::Block<Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, 1, true>, -1, 1, false>, -1> >(Eigen::VectorBlock<Eigen::Block<Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, 1, true>, -1, 1, false>, -1>&, std::complex<double>&, double&) const
  0.09     42.95     0.04   339822     0.00     0.00  effectif_dipole_local(std::complex<double> const*, Vecteur3D const&, Laser const&)
  0.07     42.98     0.03   824222     0.00     0.00  Field::get_Field(Vecteur3D const&) const
  0.07     43.01     0.03                             ___chkstk_ms
  0.07     43.04     0.03                             __tcf_0
  0.07     43.07     0.03                             pow
  0.05     43.09     0.02    32886     0.00     0.00  void Eigen::HouseholderSequence<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, Eigen::CwiseUnaryOp<Eigen::internal::scalar_conjugate_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> const>, 1>::evalTo<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >(Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>&, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>&) const
  0.05     43.11     0.02                             exp2l
  0.02     43.12     0.01   899966     0.00     0.00  Internal_state::Internal_state(Internal_state const&)
  0.02     43.13     0.01   559062     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> >::resize(long long, long long)
  0.02     43.14     0.01   350784     0.00     0.00  Laser::wave_vector() const
  0.02     43.15     0.01   339822     0.00     0.00  Laser::intensity_lab_axis(Vecteur3D const&) const
  0.02     43.16     0.01   339822     0.00     0.00  Laser::intensity_repere_sur_waist(Vecteur3D const&) const
  0.02     43.17     0.01     5481     0.00     0.00  rates_molecule(std::vector<Internal_state, std::allocator<Internal_state> >&, std::vector<type_codage_react, std::allocator<type_codage_react> >&, std::vector<double, std::allocator<double> >&, std::vector<Molecule, std::allocator<Molecule> > const&, int, Field const&, Field const&, std::vector<Laser, std::allocator<Laser> > const&, double, double&, FitParams&, bool)
  0.02     43.18     0.01     5481     0.00     0.00  rates_molecule_spon(std::vector<Internal_state, std::allocator<Internal_state> >&, std::vector<type_codage_react, std::allocator<type_codage_react> >&, std::vector<double, std::allocator<double> >&, Molecule const&, Field const&, Field const&, int, FitParams&)
  0.02     43.19     0.01                             cexp
  0.02     43.20     0.01                             internal_modf
  0.02     43.21     0.01                             memcpy
  0.02     43.22     0.01                             memset
  0.00     43.22     0.00 35220910     0.00     0.00  DataCards::DataCards(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     43.22     0.00  1245557     0.00     0.00  Init_Laser(std::vector<Laser, std::allocator<Laser> >&, int, FitParams&, char const*, char const*)
  0.00     43.22     0.00  1019466     0.00     0.00  Eigen::MatrixBase<Eigen::Block<Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, 1, true>, -1, 1, false> >::makeHouseholderInPlace(std::complex<double>&, double&)
  0.00     43.22     0.00  1019466     0.00     0.00  void Eigen::internal::selfadjoint_product_impl<Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, -1, false>, 17, false, Eigen::CwiseBinaryOp<Eigen::internal::scalar_product_op<std::complex<double>, std::complex<double> >, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> const> const, Eigen::Block<Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, 1, true>, -1, 1, false> const>, 0, true>::run<Eigen::Block<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>, -1, 1, false> >(Eigen::Block<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>, -1, 1, false>&, Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, -1, false> const&, Eigen::CwiseBinaryOp<Eigen::internal::scalar_product_op<std::complex<double>, std::complex<double> >, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> const> const, Eigen::Block<Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, 1, true>, -1, 1, false> const> const&, std::complex<double> const&)
  0.00     43.22     0.00   916574     0.00     0.00  Internal_state::~Internal_state()
  0.00     43.22     0.00   606361     0.00     0.00  Molecule::~Molecule()
  0.00     43.22     0.00   600640     0.00     0.00  Atome::Atome(Atome const&)
  0.00     43.22     0.00   423631     0.00     0.00  operator+(Vecteur3D const&, Vecteur3D const&)
  0.00     43.22     0.00   412890     0.00     0.00  operator*(double, Vecteur3D const&)
  0.00     43.22     0.00   394632     0.00     0.00  void Eigen::internal::evaluateProductBlockingSizesHeuristic<std::complex<double>, std::complex<double>, 1, long long>(long long&, long long&, long long&, long long)
  0.00     43.22     0.00   373744     0.00     0.00  operator-(Vecteur3D const&, Vecteur3D const&)
  0.00     43.22     0.00   345303     0.00     0.00  Internal_state::operator=(Internal_state const&)
  0.00     43.22     0.00   339822     0.00     0.00  Pseudo_Voigt(double, double, double)
  0.00     43.22     0.00   339822     0.00     0.00  rotation_lab_axis(Vecteur3D const&, double, double, double)
  0.00     43.22     0.00   339822     0.00     0.00  intensity_Convolution_linewidth(double, double, double, double, int, int, double, double, FitParams&)
  0.00     43.22     0.00   339822     0.00     0.00  Laser::transmission_spectrum(double) const
  0.00     43.22     0.00   339822     0.00     0.00  Laser::intensity_t_nanosecond(double) const
  0.00     43.22     0.00   339822     0.00     0.00  operator*(Vecteur3D const&, Vecteur3D const&)
  0.00     43.22     0.00   243806     0.00     0.00  rate_excitation(std::vector<type_codage_react, std::allocator<type_codage_react> >&, std::vector<double, std::allocator<double> >&, Laser const&, std::vector<Molecule, std::allocator<Molecule> > const&, int, int, Vecteur3D, double, double, double, double, double, Field const&, Field const&, int, Internal_state, bool)
  0.00     43.22     0.00    47591     0.00     0.00  find_reaction(MC_algorithmes, gsl_rng const*, std::vector<double, std::allocator<double> > const&, double&)
  0.00     43.22     0.00    32886     0.00     0.00  void Eigen::internal::tridiagonalization_inplace_selector<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, true>::run<Eigen::Matrix<double, -1, 1, 0, -1, 1>, Eigen::Matrix<double, -1, 1, 0, -1, 1> >(Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>&, Eigen::Matrix<double, -1, 1, 0, -1, 1>&, Eigen::Matrix<double, -1, 1, 0, -1, 1>&, bool)
  0.00     43.22     0.00    23078     0.00     0.00  Laser::~Laser()
  0.00     43.22     0.00    22960     0.00     0.00  Field::get_grad_field_F2(Vecteur3D const&) const
  0.00     43.22     0.00    21924     0.00     0.00  Eigen::DenseStorage<double, -1, -1, 1, 0>::~DenseStorage()
  0.00     43.22     0.00    16737     0.00     0.00  Internal_state::Internal_state()
  0.00     43.22     0.00    12113     0.00     0.00  Laser::~Laser()
  0.00     43.22     0.00    11539     0.00     0.00  Laser::Laser(Laser const&)
  0.00     43.22     0.00    11480     0.00     0.00  new_acc(std::vector<Molecule, std::allocator<Molecule> >&, int, Field const&, Field const&, std::vector<Laser, std::allocator<Laser> > const&, double)
  0.00     43.22     0.00    11480     0.00     0.00  Internal_state::Grad_Energy_Shift_B(double, Vecteur3D)
  0.00     43.22     0.00    11480     0.00     0.00  Internal_state::Grad_Energy_Shift_E(double, Vecteur3D)
  0.00     43.22     0.00    10962     0.00     0.00  Eigen::DenseStorage<std::complex<double>, -1, -1, -1, 0>::~DenseStorage()
  0.00     43.22     0.00    10080     0.00     0.00  FitParams::LocateOrAddNonConstParam(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     43.22     0.00     6848     0.00     0.00  Internal_state::is_equal(Internal_state const&) const
  0.00     43.22     0.00     5741     0.00     0.00  Atome::Atome()
  0.00     43.22     0.00     5741     0.00     0.00  Molecule::Molecule()
  0.00     43.22     0.00     1492     0.00     0.00  DataCards::AppendCard(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     43.22     0.00     1152     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<double const, double> >, bool> std::_Rb_tree<double, std::pair<double const, double>, std::_Select1st<std::pair<double const, double> >, std::less<double>, std::allocator<std::pair<double const, double> > >::_M_emplace_unique<std::pair<double, double> >(std::pair<double, double>&&)
  0.00     43.22     0.00     1152     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     43.22     0.00      618     0.00     0.00  Laser::read_Spectrum(char const*)
  0.00     43.22     0.00      576     0.00     0.00  Laser::read_Intensity(char const*)
  0.00     43.22     0.00      576     0.00     0.00  Laser::Laser()
  0.00     43.22     0.00      574     0.00     0.00  void add_acc_N_body_Coulomb<Molecule>(std::vector<Molecule, std::allocator<Molecule> > const&, Vecteur3D*, int)
  0.00     43.22     0.00      574     0.00     0.00  void add_acc_Charged_particles<Molecule>(std::vector<Molecule, std::allocator<Molecule> >&, Vecteur3D*, Field const&, Field const&, int)
  0.00     43.22     0.00      560     0.00     0.00  void std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_realloc_insert<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     43.22     0.00      500     0.00     0.00  DataCards::RemoveCard(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     43.22     0.00      288     0.00     0.00  Init_Field(Field&, Field&, FitParams&, char const*, char const*)
  0.00     43.22     0.00      287     0.00     0.00  void evolve_step<Molecule>(N_Body_algorithmes, std::vector<Molecule, std::allocator<Molecule> >&, Field const&, Field const&, std::vector<Laser, std::allocator<Laser> > const&, int, double&, double, FitParams&)
  0.00     43.22     0.00      287     0.00     0.00  binarySearch(double*, int, int, double)
  0.00     43.22     0.00      287     0.00     0.03  calcul_rates_molecules(std::vector<Internal_state, std::allocator<Internal_state> >&, MC_algorithmes, std::vector<type_codage_react, std::allocator<type_codage_react> >&, std::vector<double, std::allocator<double> >&, std::vector<Molecule, std::allocator<Molecule> > const&, Field const&, Field const&, std::vector<Laser, std::allocator<Laser> > const&, double, int, int, FitParams&)
  0.00     43.22     0.00      287     0.00     0.00  tirage_random_discrete(gsl_rng const*, std::vector<double, std::allocator<double> > const&, int, double&)
  0.00     43.22     0.00      287     0.00     0.00  void evolve_step_Verlet_via_acc<Molecule>(std::vector<Molecule, std::allocator<Molecule> >&, Field const&, Field const&, std::vector<Laser, std::allocator<Laser> > const&, int, double&, double)
  0.00     43.22     0.00      286     0.00     0.00  Modif_Param(double, FitParams&)
  0.00     43.22     0.00      214     0.00     0.00  Internal_state::add_transition(Internal_state*, double)
  0.00     43.22     0.00      147     0.00     0.00  DataCards::SParam(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00     43.22     0.00      135     0.00     0.00  Bicubic_Interpolator::Bicubic_Interpolator(int, int, double, double, double, double)
  0.00     43.22     0.00      127     0.00     0.00  DataCards::DParam(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int, double)
  0.00     43.22     0.00      125     0.00     0.00  DataCards::HasKey(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     43.22     0.00      121     0.00     0.00  void std::vector<std::pair<Internal_state*, double>, std::allocator<std::pair<Internal_state*, double> > >::_M_realloc_insert<std::pair<Internal_state*, double> const&>(__gnu_cxx::__normal_iterator<std::pair<Internal_state*, double>*, std::vector<std::pair<Internal_state*, double>, std::allocator<std::pair<Internal_state*, double> > > >, std::pair<Internal_state*, double> const&)
  0.00     43.22     0.00      107     0.00     0.00  read_Line(std::istream&, Internal_state&, Internal_state&, double&)
  0.00     43.22     0.00       32     0.00     0.00  Internal_state::read_Level__B(std::istream&)
  0.00     43.22     0.00       32     0.00     0.00  Internal_state::Einstein_desex_rate()
  0.00     43.22     0.00       21     0.00     0.00  Molecule::operator=(Internal_state const&)
  0.00     43.22     0.00       20     0.00     0.00  Vecteur3D::gaussian_initialisation(gsl_rng const*, Vecteur3D)
  0.00     43.22     0.00        8     0.00     0.00  DataCards::IParam(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int, long)
  0.00     43.22     0.00        8     0.00     0.00  void std::vector<type_codage_react, std::allocator<type_codage_react> >::_M_realloc_insert<type_codage_react const&>(__gnu_cxx::__normal_iterator<type_codage_react*, std::vector<type_codage_react, std::allocator<type_codage_react> > >, type_codage_react const&)
  0.00     43.22     0.00        8     0.00     0.00  void std::vector<Param*, std::allocator<Param*> >::_M_realloc_insert<Param*>(__gnu_cxx::__normal_iterator<Param**, std::vector<Param*, std::allocator<Param*> > >, Param*&&)
  0.00     43.22     0.00        8     0.00     0.00  void std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double const&)
  0.00     43.22     0.00        6     0.00     0.00  void std::vector<Internal_state, std::allocator<Internal_state> >::_M_realloc_insert<Internal_state const&>(__gnu_cxx::__normal_iterator<Internal_state*, std::vector<Internal_state, std::allocator<Internal_state> > >, Internal_state const&)
  0.00     43.22     0.00        6     0.00     0.00  void std::vector<Molecule, std::allocator<Molecule> >::_M_realloc_insert<Molecule const&>(__gnu_cxx::__normal_iterator<Molecule*, std::vector<Molecule, std::allocator<Molecule> > >, Molecule const&)
  0.00     43.22     0.00        5     0.00     0.00  get_kin(Molecule const&)
  0.00     43.22     0.00        5     0.00     0.00  FitParams::LocateOrAddParam(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     43.22     0.00        4     0.00     0.00  DataCards::DoReadFile(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     43.22     0.00        4     0.00     0.00  std::__cxx11::_List_base<DataCards::Card, std::allocator<DataCards::Card> >::_M_clear()
  0.00     43.22     0.00        2     0.00     0.00  Field::Field(Field const&)
  0.00     43.22     0.00        2     0.00     0.00  Field::Field()
  0.00     43.22     0.00        2     0.00     0.00  void std::vector<Laser, std::allocator<Laser> >::_M_realloc_insert<Laser const&>(__gnu_cxx::__normal_iterator<Laser*, std::vector<Laser, std::allocator<Laser> > >, Laser const&)
  0.00     43.22     0.00        1     0.00     0.00  Level_List(char const*, std::vector<Internal_state, std::allocator<Internal_state> >&, FitParams&)
  0.00     43.22     0.00        1     0.00     0.00  do_reaction(MC_algorithmes, gsl_rng const*, std::vector<double, std::allocator<double> > const&, std::vector<type_codage_react, std::allocator<type_codage_react> > const&, std::vector<Molecule, std::allocator<Molecule> >&, int, std::vector<Laser, std::allocator<Laser> > const&, double, std::basic_ofstream<char, std::char_traits<char> >&, bool, int&, FitParams&)
  0.00     43.22     0.00        1     0.00     0.00  Init_Molecule(gsl_rng const*, std::vector<Molecule, std::allocator<Molecule> >&, Field, Field, int, FitParams&, DataCards)
  0.00     43.22     0.00        1     0.00     0.00  rotation_axis_lab(Vecteur3D const&, double, double, double)
  0.00     43.22     0.00        1     0.00     0.00  initialisation_Gamma(std::vector<Internal_state, std::allocator<Internal_state> >&, FitParams&)
  0.00     43.22     0.00        1     0.00     0.00  initialisation_proba(gsl_rng const*, std::vector<Molecule, std::allocator<Molecule> >&, int, std::vector<Internal_state, std::allocator<Internal_state> > const&)
  0.00     43.22     0.00        1     0.00     0.00  save_random_generator(gsl_rng*, char const*)
  0.00     43.22     0.00        1     0.00     0.00  initialisation_trans_mol(char const*, char const*, std::vector<Internal_state, std::allocator<Internal_state> >&, FitParams&)
  0.00     43.22     0.00        1     0.00     0.00  get_unit_vector_spontaneous_emission(gsl_rng const*, std::complex<double>*, Vecteur3D, int, FitParams&)
  0.00     43.22     0.00        1     0.00     8.89  RePaint()
  0.00     43.22     0.00        1     0.00     0.00  Line_List(char const*, std::vector<Internal_state, std::allocator<Internal_state> >&, FitParams&)
  0.00     43.22     0.00        1     0.00     0.00  Eigen::internal::queryCacheSizes(int&, int&, int&)
  0.00     43.22     0.00        1     0.00     0.00  DataCards::NbCards()
  0.00     43.22     0.00        1     0.00     0.00  DataCards::DataCards(DataCards const&)
  0.00     43.22     0.00        1     0.00     0.00  FitParams::Scan_Param()
  0.00     43.22     0.00        1     0.00     0.00  FitParams::init_value(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     43.22     0.00        1     0.00     0.00  FitParams::read(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     43.22     0.00        1     0.00     0.00  std::__cxx11::_List_base<DataCards::CrdPF, std::allocator<DataCards::CrdPF> >::_M_clear()
  0.00     43.22     0.00        1     0.00     0.00  operator<<(std::ostream&, DataCards)

			Graphe d'appel


granularité : chaque échantillon recouvre 4 octet(s) pour 0.02% secondes sur 43.22

index % temps   auto  rejetons    appelé     nom
                                                 <spontanés>
[1]     50.2   21.69    0.00                 __tcf_0 [1]
                0.00    0.00 1183896/35220910     DataCards::DataCards(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [232]
-----------------------------------------------
                                                 <spontanés>
[2]     20.6    0.00    8.89                 main [2]
                0.00    8.89       1/1           RePaint() [3]
                0.00    0.00       3/618         Laser::read_Spectrum(char const*) [262]
                0.00    0.00       1/35220910     DataCards::DataCards(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [232]
                0.00    0.00       1/8           DataCards::IParam(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int, long) [282]
-----------------------------------------------
                0.00    8.89       1/1           main [2]
[3]     20.6    0.00    8.89       1         RePaint() [3]
                0.00    8.88     287/287         calcul_rates_molecules(std::vector<Internal_state, std::allocator<Internal_state> >&, MC_algorithmes, std::vector<type_codage_react, std::allocator<type_codage_react> >&, std::vector<double, std::allocator<double> >&, std::vector<Molecule, std::allocator<Molecule> > const&, Field const&, Field const&, std::vector<Laser, std::allocator<Laser> > const&, double, int, int, FitParams&) [4]
                0.00    0.00     288/288         Init_Field(Field&, Field&, FitParams&, char const*, char const*) [53]
                0.00    0.00     287/287         void evolve_step<Molecule>(N_Body_algorithmes, std::vector<Molecule, std::allocator<Molecule> >&, Field const&, Field const&, std::vector<Laser, std::allocator<Laser> > const&, int, double&, double, FitParams&) [55]
                0.00    0.00     292/712253      FitParams::LocateParam(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [28]
                0.00    0.00       1/1           FitParams::init_value(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [60]
                0.00    0.00       1/1           Init_Molecule(gsl_rng const*, std::vector<Molecule, std::allocator<Molecule> >&, Field, Field, int, FitParams&, DataCards) [61]
                0.00    0.00       1/1           FitParams::read(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [62]
                0.00    0.00       1/1           initialisation_trans_mol(char const*, char const*, std::vector<Internal_state, std::allocator<Internal_state> >&, FitParams&) [66]
                0.00    0.00     288/1245557     Init_Laser(std::vector<Laser, std::allocator<Laser> >&, int, FitParams&, char const*, char const*) [52]
                0.00    0.00       1/1           do_reaction(MC_algorithmes, gsl_rng const*, std::vector<double, std::allocator<double> > const&, std::vector<type_codage_react, std::allocator<type_codage_react> > const&, std::vector<Molecule, std::allocator<Molecule> >&, int, std::vector<Laser, std::allocator<Laser> > const&, double, std::basic_ofstream<char, std::char_traits<char> >&, bool, int&, FitParams&) [69]
                0.00    0.00     287/47591       find_reaction(MC_algorithmes, gsl_rng const*, std::vector<double, std::allocator<double> > const&, double&) [246]
                0.00    0.00     286/286         Modif_Param(double, FitParams&) [270]
                0.00    0.00      39/618         Laser::read_Spectrum(char const*) [262]
                0.00    0.00      11/147         DataCards::SParam(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) [272]
                0.00    0.00       7/8           DataCards::IParam(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int, long) [282]
                0.00    0.00       2/2           Field::Field() [289]
                0.00    0.00       2/2           Field::Field(Field const&) [288]
                0.00    0.00       2/4           std::__cxx11::_List_base<DataCards::Card, std::allocator<DataCards::Card> >::_M_clear() [287]
                0.00    0.00       1/35220910     DataCards::DataCards(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [232]
                0.00    0.00       1/127         DataCards::DParam(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int, double) [274]
                0.00    0.00       1/1           save_random_generator(gsl_rng*, char const*) [294]
                0.00    0.00       1/1           initialisation_proba(gsl_rng const*, std::vector<Molecule, std::allocator<Molecule> >&, int, std::vector<Internal_state, std::allocator<Internal_state> > const&) [293]
                0.00    0.00       1/1           FitParams::Scan_Param() [299]
                0.00    0.00       1/1           DataCards::NbCards() [297]
                0.00    0.00       1/1           DataCards::DataCards(DataCards const&) [298]
                0.00    0.00       1/1           operator<<(std::ostream&, DataCards) [301]
                0.00    0.00       1/1           std::__cxx11::_List_base<DataCards::CrdPF, std::allocator<DataCards::CrdPF> >::_M_clear() [300]
-----------------------------------------------
                0.00    8.88     287/287         RePaint() [3]
